X                     	Y                     	FLY0                  	FF                    	FLY                   	Exact                 	Error                 
-1.570000000000000E+00	+6.887994449718317E-01	+2.454309904033672E-01	-5.535012703497816E-03	+2.398959776998694E-01	+2.398958239858470E-01	+1.537140223439870E-07
-1.560000000000002E+00	+6.906771526096300E-01	+2.469593599303487E-01	-5.534985742124601E-03	+2.414243741882241E-01	+2.414245281712114E-01	+1.539829872776455E-07
-1.550000000000001E+00	+6.925650317517180E-01	+2.485022225678656E-01	-5.534958953376026E-03	+2.429672636144896E-01	+2.429671099158282E-01	+1.536986614092406E-07
-1.539999999999999E+00	+6.944631188938295E-01	+2.500584734052332E-01	-5.534932337245401E-03	+2.445235410679878E-01	+2.445236950577512E-01	+1.539897633295872E-07
-1.530000000000001E+00	+6.963714492699854E-01	+2.516294690562704E-01	-5.534905893726078E-03	+2.460945631625444E-01	+2.460944094799031E-01	+1.536826412240622E-07
-1.520000000000000E+00	+6.982900567867393E-01	+2.532141046706857E-01	-5.534879622811456E-03	+2.476792250478743E-01	+2.476793790452090E-01	+1.539973346897927E-07
-1.509999999999998E+00	+7.002189739550821E-01	+2.548137367186996E-01	-5.534853524494973E-03	+2.492788831942046E-01	+2.492787295282720E-01	+1.536659325895862E-07
-1.500000000000000E+00	+7.021582318199520E-01	+2.564272601365031E-01	-5.534827598770113E-03	+2.508924325377330E-01	+2.508925865434682E-01	+1.540057352200641E-07
-1.490000000000002E+00	+7.041078598872692E-01	+2.580560309634197E-01	-5.534801845630402E-03	+2.525212291177893E-01	+2.525210754693090E-01	+1.536484802722171E-07
-1.480000000000000E+00	+7.060678860484279E-01	+2.596989436189906E-01	-5.534776265069410E-03	+2.541641673539212E-01	+2.541643213689262E-01	+1.540150050827194E-07
-1.469999999999999E+00	+7.080383365021712E-01	+2.613573533938749E-01	-5.534750857080748E-03	+2.558226025367942E-01	+2.558224489065304E-01	+1.536302637328291E-07
-1.460000000000001E+00	+7.100192356737818E-01	+2.630301538561632E-01	-5.534725621658075E-03	+2.574954282345051E-01	+2.574955822596896E-01	+1.540251844955876E-07
-1.449999999999999E+00	+7.120106061315109E-01	+2.647186991972917E-01	-5.534700558795087E-03	+2.591839986384966E-01	+2.591838450272683E-01	+1.536112282929381E-07
-1.439999999999998E+00	+7.140124685001622E-01	+2.664218817650339E-01	-5.534675668485529E-03	+2.608872060965484E-01	+2.608873601328561E-01	+1.540363077090490E-07
-1.430000000000000E+00	+7.160248413717687E-01	+2.681410542655898E-01	-5.534650950723186E-03	+2.626064033148666E-01	+2.626062497235284E-01	+1.535913382588738E-07
-1.420000000000002E+00	+7.180477412132769E-01	+2.698751074208324E-01	-5.534626405501886E-03	+2.643404810153305E-01	+2.643406350637604E-01	+1.540484299011879E-07
-1.410000000000000E+00	+7.200811822711577E-01	+2.716253920276846E-01	-5.534602032815504E-03	+2.660907899948691E-01	+2.660906364243154E-01	+1.535705536626075E-07
-1.399999999999999E+00	+7.221251764728692E-01	+2.733907967370109E-01	-5.534577832657953E-03	+2.678562189043530E-01	+2.678563729659272E-01	+1.540615742201545E-07
-1.390000000000001E+00	+7.241797333250937E-01	+2.751726699714481E-01	-5.534553805023189E-03	+2.696381161664249E-01	+2.696379626175933E-01	+1.535488315940192E-07
-1.379999999999999E+00	+7.262448598086657E-01	+2.769698978233942E-01	-5.534529949905216E-03	+2.714353678734890E-01	+2.714355219492856E-01	+1.540757965656780E-07
-1.370000000000001E+00	+7.283205602701051E-01	+2.787838258323081E-01	-5.534506267298080E-03	+2.732493195650100E-01	+2.732491660388775E-01	+1.535261325291692E-07
-1.359999999999999E+00	+7.304068363096892E-01	+2.806133369991715E-01	-5.534482757195871E-03	+2.750788542419756E-01	+2.750790083331029E-01	+1.540911273578693E-07
-1.350000000000001E+00	+7.325036866659630E-01	+2.824597734243368E-01	-5.534459419592713E-03	+2.769253140047441E-01	+2.769251605023240E-01	+1.535024200527424E-07
-1.340000000000000E+00	+7.346111070966288E-01	+2.843220144357920E-01	-5.534436254482787E-03	+2.787875781813092E-01	+2.787877322889208E-01	+1.541076116162721E-07
-1.329999999999998E+00	+7.367290902557111E-01	+2.862013980885869E-01	-5.534413261860310E-03	+2.806669848267266E-01	+2.806668313490714E-01	+1.534776551403993E-07
-1.320000000000000E+00	+7.388576255669357E-01	+2.880967994041621E-01	-5.534390441719540E-03	+2.825624089624425E-01	+2.825625630877239E-01	+1.541252813708205E-07
-1.310000000000002E+00	+7.409966990932352E-01	+2.900095517323792E-01	-5.534367794054780E-03	+2.844751839383244E-01	+2.844750304865329E-01	+1.534517914958400E-07
